"PanelAPP.Gene.Symbol","PanelAPP.Model_Of_Inheritance","PanelAPP.Phenotypes","PanelAPP.UserRatings_Green_amber_red","PanelAPP.EnsemblId.GRch37"
"SPPL2A","BIALLELIC, autosomal or pseudoautosomal","Defects with susceptibility to mycobacterial infection (MSMD);Susceptibility to mycobacteria;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000138600"
"TMEM173","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","STING-associated vasculopathy, infantile-onset 615934;Type 1 interferonopathies;Skin vasculopathy, inflammatory lung disease, systemic autoinflammation and ICC, FCL;Autoinflammatory Disorders","50;50;0","ENSG00000184584"
"TRAC","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 7, TCR-alpha/beta deficient, 615387;Combined immunodeficiency;Recurrent viral, bacterial, fungal infections, immune dysregulation and autoimmunity, diarrhea;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000229164"
"WIPF1","BIALLELIC, autosomal or pseudoautosomal","Wiskott-Aldrich syndrome like, WIP deficiency;WIP deficiency;?Wiskott-Aldrich syndrome 2 614493;Thrombocytopenia with or without small platelets, recurrent bacterial and viral infections, eczema, bloody diarrhea, WAS protein absent;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000115935"
"ADAM17","BIALLELIC, autosomal or pseudoautosomal","Inflammatory skin and bowel disease, neonatal, 1;IBD-1;inflammatory skin;Inflammatory skin and bowel disease, neonatal 1, 614328;ADAM17 deficiency;Early onset diarrhea and skin lesions;Autoinflammatory Disorders","0;100;0","ENSG00000151694"
"AP1S3","BIALLELIC, autosomal or pseudoautosomal","Pustular psoriasis, 616106;Autoinflammatory Disorders","0;100;0","ENSG00000152056"
"BCL10","BIALLELIC, autosomal or pseudoautosomal","Combined immunodeficiency with B cell, T cell, and fibroblast defects;?Immunodeficiency 37, 616098;Recurrent bacterial and viral infections, candidiasis, gastroenteritis;Immunodeficiencies affecting cellular and humoral immunity","0;100;0","ENSG00000142867"
"CARD14","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","CARD14 mediated psoriasis;Psoriasis 2, 602723;Pityriasis rubra pilaris,173200;Other autoinflammatory diseases with known genetic defect;Psoriasis;Autoinflammatory Disorders;immune dysregulation","0;100;0","ENSG00000141527"
"CD247","BIALLELIC, autosomal or pseudoautosomal","T-B+ severe combined immunodeficiency due to CD3zeta;?Immunodeficiency 25;T-B+ SCID;Immunodeficiency 25, 610163;Atypical Severe Combined Immunodeficiency (Atypical SCID);Severe combined immunodeficiency (SCID);Nl NK, no g/d T cells;Immunodeficiencies affecting cellular and humoral immunity","0;40;60","ENSG00000198821"
"CD81","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency, common variable 6, 613496;Common variable immunodeficiency disorders (CVID);Isolated IgG subclass deficiency;CD81 deficiency;hypogammaglobulinaemia;Recurrent infections, may have glomerulonephritis;Predominantly Antibody Deficiencies","0;100;0","ENSG00000110651"
"CD8A","BIALLELIC, autosomal or pseudoautosomal","CD8 deficiency familial, 608957;Susceptibility to respiratory infections associated with CD8alpha chain mutation;Recurrent infections, may be asymptomatic;Immunodeficiencies affecting cellular and humoral immunity","0;100;0","ENSG00000153563"
"CFB","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Complement factor B deficiency, 615561;Atypical Hemolytic-uremic syndrome;Infections with encapsulated organisms;Complement Deficiencies;Susceptibility to atypical haemolytic uraemic syndrome (4;AD);complement factor B deficiency (AR)","50;50;0","ENSG00000243649"
"CFHR1","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Age related macular degeneration;Atypical hemolytic uremic syndrome susceptibility;Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections;Complement Deficiencies","0;100;0","ENSG00000244414"
"CFHR3","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Age related macular degeneration;Atypical hemolytic uremic syndrome susceptibility;Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections;Complement Deficiencies","0;100;0","ENSG00000116785"
"CFHR4","Unknown","Age related macular degeneration;Atypical hemolytic uremic syndrome susceptibility;Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections;Complement Deficiencies","0;100;0","ENSG00000134365"
"CFHR5","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Nephropathy due to CFHR5 deficiency, 614809;Atypical hemolytic uremic syndrome susceptibility;Atypical hemolytic-uremic syndrome with anti-factor H antibodies;Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections;Complement Deficiencies","0;100;0","ENSG00000134389"
"CFTR","BIALLELIC, autosomal or pseudoautosomal","Cystic fibrosis, 219700;Respiratory infections, pancreatic insufficiency, elevated sweat chloride;Congenital defects of phagocyte number or function","33;67;0","ENSG00000001626"
"CR2","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency, common variable, 7, 614699;Lupus;Immunodeficiency, common variable, 7;Common variable immunodeficiency disorders (CVID);Isolated IgG subclass deficiency;hypogammaglobulinaemia;Recurrent infections;Predominantly Antibody Deficiencies","33;33;33","ENSG00000117322"
"DNASE1L3","BIALLELIC, autosomal or pseudoautosomal","Systemic lupus erythematosus 16, 614420;familial early-onset SLE;Systemic lupus erythematosus, lupus nephritis, hypocomplementemic urticarial vasculitis;Diseases of Immune Dysregulation","0;100;0","ENSG00000163687"
"FCGR3A","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 20, 615707;Fc receptor deficiencies;Autosomal recessive primary immunodeficiency with defective spontaneous NK cell cytotoxicity;CD16 deficiency;severe herpes viral infections, particularly VZV, Epstein Barr virus (EBV), and (HPV);Defects in Intrinsic and Innate Immunity;predisposition to severe viral infection","33;67;0","ENSG00000203747"
"FPR1","BIALLELIC, autosomal or pseudoautosomal","Periodontitis;Localized juvenile peridontitis;Periodontitis only;Congenital defects of phagocyte number or function","50;50;0","ENSG00000171051"
"IGKC","BIALLELIC, autosomal or pseudoautosomal","Kappa light chain deficiency, 614102;Immunoglobulin chain deficiencies;Asymptomatic;Predominantly Antibody Deficiencies","0;100;0","ENSG00000211592"
"IL17F","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Candidiasis, familial, 6, 613956;Chronic mucocutaneous candidiasis (CMC);CMC, folliculitis;Defects in Intrinsic and Innate Immunity","0;50;50","ENSG00000112116"
"IL21","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency, common variable, 11, 615767;Severe early onset colitis, recurrent sinopulmonary infections;Immunodeficiencies affecting cellular and humoral immunity","0;100;0","ENSG00000138684"
"IRF3","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 7}, 616532;Herpes simplex virus 1 encephalitis;Defects in Intrinsic and Innate Immunity","0;100;0","ENSG00000126456"
"IRF7","BIALLELIC, autosomal or pseudoautosomal","IRF7 deficiency;Severe influenza;?Immunodeficiency 39, 616345;Severe influenza disease;Defects in Intrinsic and Innate Immunity","0;100;0","ENSG00000185507"
"KRAS","Unknown","RAS associated lymphoproliferative disease, 614470;RALD","0;100;0","ENSG00000133703"
"MBL2","BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal","Mannose-Binding Protein Deficiency, 614372;Chronic infections, due to MBL deficiency;Mannose-binding lectin deficiency (MBL)","50;50;0","ENSG00000165471"
"NCSTN","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Hidradenitis suppurativa with acne, 142690;Defects in Intrinsic and Innate Immunity;familial hydradenitis suppurativa","0;100;0","ENSG00000162736"
"NOP10","BIALLELIC, autosomal or pseudoautosomal","Dyskeratosis congenita, autosomal recessive 1 224230;Dyskeratosis congenita 1;Dyskeratosis congenita;Hoyeraal-Hreidarsson syndrome;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features","50;50;0","ENSG00000182117"
"NRAS","Other - please specifiy in evaluation comments","?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic 614470;Autoimmune lymphoproliferative syndrome type IV;Ras associated lymphoproliferative disease (RALD)","0;100;0","ENSG00000213281"
"PMS2","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Mismatch repair cancer syndrome 276300;Post-Meiotic Segregation 2 (PMS2) deficiency;CSR defects and Hyper IgM (HIGM) syndromes;Recurrent infections, caf-au-lait spots, lymphoma, colorectal carcinoma, brain tumors;Combined immunodeficiencies with associated or syndromic features","0;100;0","ENSG00000122512"
"POLE","BIALLELIC, autosomal or pseudoautosomal","FILS syndrome 615139;Facial dysmorphism, immunodeficiency, livedo, and short stature (FILS syndrome);Recurrent respiratory infections, meningitis, facial dysmorphism, livido, short stature;Combined immunodeficiencies with associated or syndromic features","0;100;0","ENSG00000177084"
"PSENEN","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Hidradenitis suppurativa;Defects in Intrinsic and Innate Immunity;Acne inversa, familial, 2, with or without Dowling-Degos disease 613736","0;100;0","ENSG00000205155"
"RAC2","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","T-B- SCID;T-B+ SCID;Neutrophil immunodeficiency syndrome 608203;Neutrophil immunodeficiency syndrome;RAS-related C3 Bolutinum toxin substrate 2 deficiency (RAC2);Poor wound healing, leukocytosis;Congenital defects of phagocyte number or function","0;20;80","ENSG00000128340"
"RHOH","BIALLELIC, autosomal or pseudoautosomal","RhoH deficiency;Combined immunodeficiency;Epidermodysplasia verruciformis;T cell deficiency and various infectious diseases;HPV infection, lung granulomas, molluscum contagiosum, lymphoma;Immunodeficiencies affecting cellular and humoral immunity","0;100;0","ENSG00000168421"
"SAMD9","Other - please specifiy in evaluation comments","IUGR with gonadal abnormalities, adrenal failure, MDS with chromosome 7 aberrations, predisposition to infections, enteropathy, absent spleen;Combined immunodeficiencies with associated or syndromic features;MIRAGE syndrome (Myelodysplasia, Infection, Restriction of growth, Adrenal insufficiency, Genital phenotypes, and Enteropathy);ataxia-thrombocytopenia syndrome","0;100;0","ENSG00000205413"
"TAPBP","BIALLELIC, autosomal or pseudoautosomal","Bare lymphocyte syndrome, type I 604571;HLA class I deficiency;Vasculitis, pyoderma gangrenosum;Immunodeficiencies affecting cellular and humoral immunity","0;100;0","ENSG00000231925"
"TBX1","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","T-B+ SCID;Di George syndrome;Severe combined immunodeficiency (SCID);DiGeorge syndrome 188400;Hypoparathyroidism, conotruncal cardiac malformation, velopalatal insufficiency, abnormal facies, intellectual disability;Combined immunodeficiencies with associated or syndromic features","0;40;60","ENSG00000184058"
"TERC","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Dyskeratosis congenita 1;Dyskeratosis congenita;Hoyeraal-Hreidarsson syndrome;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features","0;100;0","ENSG00000270141"
"TERT","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Dyskeratosis congenita 2 613989, Dyskeratosis congenita 4 613989;Dyskeratosis congenita;Hoyeraal-Hreidarsson syndrome;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features","0;100;0","ENSG00000164362"
"TINF2","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Dyskeratosis congenita 3;Dyskeratosis congenita;Hoyeraal-Hreidarsson syndrome;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features","0;100;0","ENSG00000092330"
"TNFRSF13C","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency, common variable, 4;Common variable immunodeficiency disorders (CVID);Isolated IgG subclass deficiency;Variable clinical expression;Predominantly Antibody Deficiencies","0;100;0","ENSG00000159958"
"ACTB","Unknown","Baraitser-Winter syndrome 1, 243310;Phagocytic disorder;Actin beta deficiency (ACTB);neutrophil dysfunction;Poor neutrophil chemotaxis, oxidative burst and actin remodeling. Thrombocytopenia;Mental retardation, short stature;Congenital defects of phagocyte number or function","0;0;100","ENSG00000075624"
"AP3D1","BIALLELIC, autosomal or pseudoautosomal","?Hermansky-Pudlak syndrome 10, 617050;HSP10;Immunodeficient HPS;Hermansky-Pudlak syndrome with neutropenia;Hermansky-Pudlak syndrome;albinism;neutropenia;neuordevelopmental delay;seizures;Oculocutaneous albinism, severe neutropenia, recurrent infections, seizures, hearing loss and neurodevelopmental delay;Diseases of Immune Dysregulation","0;0;100","ENSG00000065000"
"APOL1","Unknown","Trypanosomiasis, susceptibility to;Trypanosomias;Trypanosomiasis;Defects in Intrinsic and Innate Immunity","0;0;100","ENSG00000100342"
"BCL11B","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","?Immunodeficiency 49, 617237;Congenital abnormalities, neonatal teeth, dysmorphic facies, absent corpus callosum, neurocognitive deficits;Immunodeficiencies affecting cellular and humoral immunity;leaky SCID","0;100;0","ENSG00000127152"
"BLOC1S6","BIALLELIC, autosomal or pseudoautosomal","Hermansky-pudlak syndrome 9, 614171;HPS9, palladin deficiency (NK cell defect);Immune Dysregulation","0;50;50","ENSG00000104164"
"C8G","BIALLELIC, autosomal or pseudoautosomal","Complement factor 8 defect;Complement component 8 deficiency;Disseminated neisserial infections;Complement Deficiencies","0;0;100","ENSG00000176919"
"CD4","","Selective CD4 cell deficiency","0;50;50","ENSG00000010610"
"CFHR2","Unknown","Age related macular degeneration;Atypical hemolytic uremic syndrome susceptibility;Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections;Complement Deficiencies","0;50;50","ENSG00000080910"
"CLCN7","","Osteopetrosis with hypocalcemia, neurologic features;Defects in Intrinsic and Innate Immunity","0;0;100","ENSG00000103249"
"CNBP","","Steinert- myotonica dystrophia","0;50;50","ENSG00000169714"
"COLEC11","","Mannan-binding lectin serine protease (MASP) deficiency","0;50;50","ENSG00000118004"
"CTC1","BIALLELIC, autosomal or pseudoautosomal","Cerebroretinal microangiopathy with calcifications and cysts, 612199;Intrauterine growth retardation, sparse graying hair, dystrophic nails, trilinear bone marrow failure, osteopenia, gastrointestinal hemorrhage due to vascular ectasia, retinal telangiectasia, intracranial calcification, abnormal telomeres;Combined immunodeficiencies with associated or syndromic features","0;0;100","ENSG00000178971"
"ELF4","Unknown","X-linked hypogammaglobulinemia with isolated growth hormone deficiency","0;0;100","ENSG00000102034"
"EPCAM","BIALLELIC, autosomal or pseudoautosomal","Diarrhea 5, with tufting enteropathy, congenital","0;50;50","ENSG00000119888"
"ERCC2","","Combined immunodeficiency (CID) in a child affected by trichothiodystrophy (TTD);CD4 + lymphopenia","0;0;100","ENSG00000104884"
"ERCC3","","","0;0;100","ENSG00000163161"
"FAAP24","BIALLELIC, autosomal or pseudoautosomal","EBV infection-driven lymphoproliferative disease;Diseases of Immune Dysregulation","0;0;100","ENSG00000131944"
"FBF1","","","0;0;100","ENSG00000188878"
"FCGR1A","","Fc receptor deficiencies","0;50;50","ENSG00000150337"
"FCGR2A","","Fc receptor deficiencies","0;50;50","ENSG00000143226"
"FCGR2B","","Fc receptor deficiencies","0;50;50","ENSG00000072694"
"FCGR3B","Unknown","Neutropenia,alloimmuneneonatal;Neutropenia, alloimmune neonatal;Fc receptor deficiencies;Neutropenia, autoimmune neonatal;Neutropenia, autoimmune neonatal","0;33;67","ENSG00000162747"
"FCGRT","","Fc receptor deficiencies","0;50;50","ENSG00000104870"
"FCN3","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency due to ficolin 3 deficiency, 613860;Ficolin3 deficiency;Respiratory infections, abscesses;Complement Deficiencies","0;0;100","ENSG00000142748"
"FPR2","","Localized juvenile peridontitis","0;50;50","ENSG00000171049"
"FPR3","","Localized juvenile peridontitis","0;50;50","ENSG00000187474"
"GAD1","BIALLELIC, autosomal or pseudoautosomal","?Cerebral palsy, spastic quadriplegic, 1, 603513","0;0;100","ENSG00000128683"
"GTF2H5","","","0;0;100","ENSG00000272047"
"GUCY2C","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Diarrhea 6, 614616;meconium ileus","0;0;100","ENSG00000070019"
"HMOX1","BIALLELIC, autosomal or pseudoautosomal","Hemolysis, nephritis, inflammation;Defects in Intrinsic and Innate Immunity;amyloidosis","0;0;100","ENSG00000100292"
"HPS1","BIALLELIC, autosomal or pseudoautosomal","Hermansky-Pudlak syndrome 1;oculocutaneous albinism;bleeding;inflammatory bowel disease;pulmonary fibrosis","0;0;100","ENSG00000107521"
"HPS4","BIALLELIC, autosomal or pseudoautosomal","Hermansky-Pudlak syndrome 4","0;0;100","ENSG00000100099"
"HPS6","BIALLELIC, autosomal or pseudoautosomal","Hermansky-Pudlak syndrome 6","0;0;100","ENSG00000166189"
"HYOU1","","Hypoglycemia, inflammatory complications;Congenital defects of phagocyte number or function","0;0;100","ENSG00000149428"
"ICOSLG","","","0;0;100","ENSG00000160223"
"IFNAR2","BIALLELIC, autosomal or pseudoautosomal","?Immunodeficiency 45, 616669;Severe viral infections (disseminated vaccine-strain measles, HHV6);Defects in Intrinsic and Innate Immunity","0;0;100","ENSG00000159110"
"IGHG2","","Immunoglobulin chain deficiencies","0;50;50","ENSG00000211893"
"IL17A","","Immunodeficiency 5;Arthritis","0;50;50","ENSG00000112115"
"IL18","","Defects with susceptibility to mycobacterial infection (MSMD)","0;50;50","ENSG00000150782"
"IL22","BIALLELIC, autosomal or pseudoautosomal","AutoAb Chronic Mucocutaneous Candidiasis","0;50;50","ENSG00000127318"
"IL23A","","Defects with susceptibility to mycobacterial infection (MSMD)","0;50;50","ENSG00000110944"
"IRAK1","BIALLELIC, autosomal or pseudoautosomal","Bacterial infections, X-linked MECP2 deficiency-related syndrome due to a large de novo Xq28 chromosomal deletion encompassing both MECP2 and IRAK1;Defects in Intrinsic and Innate Immunity","0;0;100","ENSG00000184216"
"IRF2BP2","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Recurrent infections, possible autoimmunity and inflammatory disease;Predominantly Antibody Deficiencies;CVID","0;0;100","ENSG00000168264"
"ITGAM","Unknown","Systemic lupus erythematous","0;50;50","ENSG00000169896"
"JAK1","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","HSM, eosinophilia, eosinophilic enteritis, thyroid disease, poor growth, viral infections;Diseases of Immune Dysregulation;Susceptibility to mycobacteria and viruses, urothelial carcinoma;Defects in Intrinsic and Innate Immunity;Hypereosinophilic syndrome","0;0;100","ENSG00000162434"
"KDM6A","X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)","Kabuki Syndrome 2 due to KDM6A deficiency;Combined immunodeficiencies with associated or syndromic features","0;100;0","ENSG00000147050"
"KMT2A","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Unclassified antibody deficiency;Wiedemann-Steiner syndrome with Congenital immunodeficiency","0;50;50","ENSG00000118058"
"KMT2D","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Kabuki syndrome 1, 147920;Typical facial abnormalities, cleft or high arched palate, skeletal abnormalities, short stature, intellectual disability, congenital heart defects, recurrent infections (otitis media, pneumonia) in 50% of patients. Autoimmunity may be present;Combined immunodeficiencies with associated or syndromic features","0;0;100","ENSG00000167548"
"LIG1","BIALLELIC, autosomal or pseudoautosomal","DNA ligase I deficiency;DNA-ligase 1 ATP-dependent deficiency (LIG1);Recurrent respiratory infections,  growth retardation, sun sensitivity, lymphoma, radiation sensitivity;Combined immunodeficiencies with associated or syndromic features","0;33;67","ENSG00000105486"
"LRRC8A","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Agammaglobulinemia 5, 613506;Agammaglobulinemia","0;25;75","ENSG00000136802"
"MASP1","","Mannan-binding lectin serine protease (MASP) deficiency","0;50;50","ENSG00000127241"
"MASP2","BIALLELIC, autosomal or pseudoautosomal","MASP2 deficiency 613791;Mannan-binding lectin serine protease (MASP) deficiency;Pyogenic infections, inflammatory lung disease, autoimmunity;Complement Deficiencies","0;50;50","ENSG00000009724"
"MKL1","BIALLELIC, autosomal or pseudoautosomal","Susceptibility to severe bacterial infection;Mild thrombocytopenia;Congenital defects of phagocyte number or function","0;0;100","ENSG00000196588"
"MPI","","","0;0;100","ENSG00000178802"
"MPO","BIALLELIC, autosomal or pseudoautosomal","Myeloperoxidase deficiency 254600","0;67;33","ENSG00000005381"
"MRE11","BIALLELIC, autosomal or pseudoautosomal","Ataxia-telangiectasia-like disorder 1 604391;AT-like disorder","0;33;67","ENSG00000020922"
"MS4A1","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency, common variable, 5 613495;Common variable immunodeficiency disorders (CVID);Recurrent infections;Predominantly Antibody Deficiencies","0;33;67","ENSG00000156738"
"MSH6","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Colorectal cancer, hereditary nonpolyposis, type 5 614350;Endometrial cancer, familial 608089;Mismatch repair cancer syndrome 276300;Family or personal history of cancer;Predominantly Antibody Deficiencies","0;0;100","ENSG00000116062"
"NBAS","BIALLELIC, autosomal or pseudoautosomal","Fever induced liver failure;Infantile liver failure syndrome 2, 616483;Defects in Intrinsic and Innate Immunity","0;0;100","ENSG00000151779"
"NFAT5","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","NFAT5 haploinsufficieny;IBD, recurrent sinopulmonary infections;Diseases of Immune Dysregulation","0;0;100","ENSG00000102908"
"NFKBID","","","0;0;100","ENSG00000167604"
"NLRP1","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Dyskeratosis, autoimmunity and arthritis;Autoinflammatory Disorders;Autoinflammation with arthritis and dyskeratosis","0;100;0","ENSG00000091592"
"OSTM1","BIALLELIC, autosomal or pseudoautosomal","Osteopetrosis with hypocalcemia, neurologic features;Defects in Intrinsic and Innate Immunity","0;100;0","ENSG00000081087"
"PLEKHM1","","Osteopetrosis;Defects in Intrinsic and Innate Immunity","0;0;100","ENSG00000225190"
"POLE2","BIALLELIC, autosomal or pseudoautosomal","Recurrent infections, disseminated BCG infections, autoimmunity (type 1 diabetes, hypothyroidism, facial dysmorphism;Combined immunodeficiencies with associated or syndromic features","0;0;100","ENSG00000100479"
"PSEN1","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Hidradenitis suppurative with cutaneous hyperpigmentation;Defects in Intrinsic and Innate Immunity;Acne inversa, familial, 3 613737","0;0;100","ENSG00000080815"
"PSMA3","","","0;0;100","ENSG00000100567"
"PSMB4","BIALLELIC, autosomal or pseudoautosomal","CANDLE syndrome (Autoinflammation, lipodystrophy, and dermatosis syndrome)","0;100;0","ENSG00000159377"
"PSMB9","BIALLELIC, autosomal or pseudoautosomal","CANDLE syndrome (Autoinflammation, lipodystrophy, and dermatosis syndrome)","0;100;0","ENSG00000240065"
"PTEN","","Lymphoproliferation, Autoimmunity;Predominantly Antibody Deficiencies","0;0;0","ENSG00000171862"
"RANBP2","","Fever induces acute encephalopathy;Defects in Intrinsic and Innate Immunity","0;0;0","ENSG00000153201"
"RECQL4","BIALLELIC, autosomal or pseudoautosomal","Combined immunodeficiency;Rothmund-Thomson syndrome, 268400","0;50;50","ENSG00000160957"
"RELB","BIALLELIC, autosomal or pseudoautosomal","?Immunodeficiency 53, 617585;Recurrent infections;Immunodeficiencies affecting cellular and humoral immunity","0;0;100","ENSG00000104856"
"RET","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Central hypoventilation syndrome, congenital 209880","0;50;50","ENSG00000165731"
"RNF31","BIALLELIC, autosomal or pseudoautosomal","Polyglucosan body myopathy, early-onset, with or without immunodeficiency;autoinflammation and combined immunodeficiency;Bacterial infections, autoinflammation, amylopectinosis, lymphangiectasia;Combined immunodeficiencies with associated or syndromic features;Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis","0;33;67","ENSG00000092098"
"RNU4ATAC","","Recurrent bacterial infections, lymphadenopathy, Spondyloepiphyseal dysplasia, extreme intrauterine growth retardation, retinal dystrophy, facial dysmorphism, may present with microcephaly;Combined immunodeficiencies with associated or syndromic features","0;0;0","ENSG00000264229"
"SAMD9L","","Cytopenia, predisposition to MDS with chromosome 7 aberrations, immunodeficiency, and progressive cerebellar dysfunction;Combined immunodeficiencies with associated or syndromic features","0;0;0","ENSG00000177409"
"SART3","Unknown","Porokeratosis","0;0;100","ENSG00000075856"
"SEMA3E","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Charge syndrome 214800;CHARGE syndrome;immune-mediated cerebellar ataxia;Coloboma, heart anomaly, choanal atresia, intellectual retardation, genital and ear anomalies, CNS malformation, some are SCID-like and have low TRECs;Combined immunodeficiencies with associated or syndromic features","0;33;67","ENSG00000170381"
"SH3BP2","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Cherubism 118400;Other autoinflammatory diseases with known genetic defect;Bone degeneration in jaws;Autoinflammatory Disorders","0;50;50","ENSG00000087266"
"SMARCD2","","Neutropenia, developmental aberrations, skeletal abnormalities, hematopoietic stem cells, myelodysplasia;Congenital defects of phagocyte number or function","0;0;0","ENSG00000108604"
"SNX10","","Osteopetrosis with visual impairment;Defects in Intrinsic and Innate Immunity","0;0;0","ENSG00000086300"
"SRP54","","Schwachman Diamond features;Congenital defects of phagocyte number or function","0;0;0","ENSG00000100883"
"STAT5A","Unknown","Combined immunodeficiency;Defects with susceptibility to mycobacterial infection (MSMD)","0;0;100","ENSG00000126561"
"STN1","","Intrauterine growth retardation, premature aging, pancytopenia, hypocellular bone marrow, gastrointestinal hemorrhage due to vascular ectasia, intracranial calcification, abnormal telomeres;Combined immunodeficiencies with associated or syndromic features","0;0;0","ENSG00000107960"
"TCIRG1","","Osteopetrosis with hypocalcemia;Defects in Intrinsic and Innate Immunity","0;0;0","ENSG00000110719"
"TFRC","","Recurrent infections, neutropenia, thrombocytopenia;Immunodeficiencies affecting cellular and humoral immunity","0;0;0","ENSG00000072274"
"THBD","Unknown","Hemolytic uremic syndrome, atypical, susceptibility to, 6;Thrombomodulin deficiency;Atypical hemolytic-uremic syndrome;Complement Deficiencies","0;50;50","ENSG00000178726"
"TIRAP","","Defects of TLR/NFkappa-B signalling;TIRAP deficiency;Staphylococcal disease during childhood;Defects in Intrinsic and Innate Immunity","0;0;100","ENSG00000150455"
"TNFRSF11A","","Osteopetrosis;Defects in Intrinsic and Innate Immunity","0;0;0","ENSG00000141655"
